PreciseTimeStamp,e2EDurationInMilliseconds
45:00.0,124
45:00.0,124
45:00.0,125
45:00.0,124
45:00.0,124
45:00.0,125
45:00.0,109
45:00.0,203
45:00.0,124
45:00.0,125
45:00.0,124
45:00.0,125
45:00.0,124
45:00.0,12687
45:00.0,3640
45:00.0,140
45:00.0,125
45:00.0,125
45:00.0,124
45:00.0,124
45:00.0,140
45:00.0,124
45:00.0,124
45:00.0,125
45:00.0,125
45:00.0,125
45:00.0,125
45:00.0,1828
45:00.0,5375
45:00.0,36765
45:00.0,20875
45:00.0,109
45:00.0,109
45:00.0,93
45:00.0,93
45:00.0,109
45:00.0,13484
45:00.0,109
45:00.0,109
45:00.0,109
45:00.0,109
45:00.0,265
45:00.0,109
45:00.0,93
45:00.0,109
45:00.0,109
45:00.0,109
45:00.0,109
45:00.0,93
45:00.0,109
45:00.0,93
45:00.0,109
45:00.0,93
45:00.0,61531
45:00.0,60812
45:00.0,59078
45:00.0,56890
45:00.0,57578
45:00.0,56703
45:00.0,54078
45:00.0,48672
45:00.0,40281
45:00.0,42343
45:00.0,124
45:00.0,125
45:00.0,125
45:00.0,125
45:00.0,140
45:00.0,124
45:00.0,109
45:00.0,109
45:00.0,109
45:00.0,124
45:00.0,124
45:00.0,124
45:00.0,125
45:00.0,640
45:00.0,109
45:00.0,109
45:00.0,109
45:00.0,109
45:00.0,109
45:00.0,109
45:00.0,187
45:00.0,125
45:00.0,124
45:00.0,109
45:00.0,109
45:00.0,109
45:00.0,93
45:00.0,109
45:00.0,109
45:00.0,109
45:00.0,109
45:00.0,124
45:00.0,140
45:00.0,124
45:00.0,124
45:00.0,125
45:00.0,124
45:00.0,125
45:00.0,125
30:00.0,140
30:00.0,140
30:00.0,140
30:00.0,140
30:00.0,156
30:00.0,140
30:00.0,140
30:00.0,140
30:00.0,124
30:00.0,140
30:00.0,140
30:00.0,125
30:00.0,140
30:00.0,125
30:00.0,140
30:00.0,124
30:00.0,140
30:00.0,125
30:00.0,124
30:00.0,140
30:00.0,125
30:00.0,109
30:00.0,125
30:00.0,125
30:00.0,140
30:00.0,109
30:00.0,109
30:00.0,109
30:00.0,124
30:00.0,124
30:00.0,124
30:00.0,109
30:00.0,109
30:00.0,109
30:00.0,109
30:00.0,109
30:00.0,125
30:00.0,218
30:00.0,140
30:00.0,109
30:00.0,109
30:00.0,109
30:00.0,109
30:00.0,109
30:00.0,140
30:00.0,125
30:00.0,125
30:00.0,125
30:00.0,187
30:00.0,124
30:00.0,140
30:00.0,124
30:00.0,140
30:00.0,125
30:00.0,140
30:00.0,140
30:00.0,125
30:00.0,140
30:00.0,187
30:00.0,140
30:00.0,125
30:00.0,140
30:00.0,124
30:00.0,124
30:00.0,156
30:00.0,124
30:00.0,124
30:00.0,124
30:00.0,125
30:00.0,125
30:00.0,124
30:00.0,140
30:00.0,125
30:00.0,124
30:00.0,125
30:00.0,140
30:00.0,124
30:00.0,140
30:00.0,125
30:00.0,125
30:00.0,125
30:00.0,125
30:00.0,140
30:00.0,124
30:00.0,109
30:00.0,109
30:00.0,124
30:00.0,140
30:00.0,140
30:00.0,124
30:00.0,109
30:00.0,124
30:00.0,124
30:00.0,140
30:00.0,140
30:00.0,124
30:00.0,140
30:00.0,187
30:00.0,125
30:00.0,124
30:00.0,140
30:00.0,109
30:00.0,124
30:00.0,124
30:00.0,32984
30:00.0,31343
30:00.0,125
30:00.0,124
30:00.0,140
30:00.0,140
30:00.0,21312
30:00.0,19265
30:00.0,15609
30:00.0,12140
30:00.0,4484
30:00.0,687
30:00.0,140
30:00.0,140
30:00.0,140
30:00.0,125
30:00.0,4250
30:00.0,296
30:00.0,140
30:00.0,125
30:00.0,140
30:00.0,140
30:00.0,140
30:00.0,140
30:00.0,140
30:00.0,124
30:00.0,140
30:00.0,140
30:00.0,218
30:00.0,140
30:00.0,140
30:00.0,140
30:00.0,125
30:00.0,125
30:00.0,140
30:00.0,140
30:00.0,125
30:00.0,125
30:00.0,140
30:00.0,72156
30:00.0,69984
30:00.0,69437
30:00.0,58375
30:00.0,60250
30:00.0,124
30:00.0,53969
30:00.0,49172
30:00.0,33953
30:00.0,218
30:00.0,124
30:00.0,125
30:00.0,140
30:00.0,234
30:00.0,125
30:00.0,125
30:00.0,125
30:00.0,124
30:00.0,3890
30:00.0,203
30:00.0,140
30:00.0,140
30:00.0,125
30:00.0,125
30:00.0,124
30:00.0,140
30:00.0,140
30:00.0,125
30:00.0,125
30:00.0,124
30:00.0,125
30:00.0,124
30:00.0,140
30:00.0,140
30:00.0,171
30:00.0,140
30:00.0,125
30:00.0,140
30:00.0,125
30:00.0,124
30:00.0,124
30:00.0,125
30:00.0,125
30:00.0,140
30:00.0,140
30:00.0,125
30:00.0,124
30:00.0,124
30:00.0,125
30:00.0,140
30:00.0,125
30:00.0,125
15:00.0,146235
15:00.0,141563
15:00.0,125
15:00.0,125
15:00.0,140797
15:00.0,156
15:00.0,109
15:00.0,109
15:00.0,109
15:00.0,109
15:00.0,125
15:00.0,124
15:00.0,109
15:00.0,124
15:00.0,125
15:00.0,140
15:00.0,140
15:00.0,125
15:00.0,125
15:00.0,124
15:00.0,124
15:00.0,140
15:00.0,140
15:00.0,124
15:00.0,125
15:00.0,140
15:00.0,296
15:00.0,109
15:00.0,125
15:00.0,109
15:00.0,125
15:00.0,125
15:00.0,375
15:00.0,125
15:00.0,125
15:00.0,124
15:00.0,109
15:00.0,140
15:00.0,140969
15:00.0,139782
15:00.0,137297
15:00.0,137110
15:00.0,136657
15:00.0,135469
15:00.0,124
15:00.0,140
15:00.0,125
15:00.0,125
15:00.0,140
15:00.0,135
15:00.0,109
15:00.0,109
15:00.0,125
15:00.0,125
15:00.0,125
15:00.0,249
15:00.0,109
15:00.0,140
15:00.0,124
