region,PreciseTimeStamp,e2EDurationInMilliseconds,num_starts_per_region
westus2,44154.70833,109,21
westus2,44154.70833,125,64
westus2,44154.70833,140,37
westus2,44154.70833,124,50
westus2,44154.66667,93,35
westus2,44154.66667,140,215
westus2,44154.66667,124,121
westus2,44154.66667,125,102
westus2,44154.66667,156,22
westus2,44154.66667,78,93
westus2,44154.66667,109,53
westus2,44154.625,203,11
westus2,44154.625,93,20
westus2,44154.625,140,141
westus2,44154.625,171,19
westus2,44154.625,234,11
westus2,44154.625,125,175
westus2,44154.625,109,278
westus2,44154.625,124,164
westus2,44154.625,156,19
westus2,44154.58333,109,73
westus2,44154.58333,156,51
westus2,44154.58333,140,168
westus2,44154.58333,124,137
westus2,44154.58333,125,170
westus2,44154.54167,125,131
westus2,44154.54167,124,117
westus2,44154.54167,109,60
westus2,44154.54167,140,195
westus2,44154.54167,93,71
westus2,44154.54167,78,19
westus2,44154.5,109,91
westus2,44154.5,140,166
westus2,44154.5,125,183
westus2,44154.5,124,174
westus2,44154.5,156,95
westus2,44154.5,171,16
westus2,44154.45833,140,181
westus2,44154.45833,0,12
westus2,44154.45833,109,110
westus2,44154.45833,156,31
westus2,44154.45833,124,139
westus2,44154.45833,125,186
westus2,44154.41667,125,112
westus2,44154.41667,187,15
westus2,44154.41667,124,100
westus2,44154.41667,109,62
westus2,44154.41667,156,81
westus2,44154.41667,140,262
westus2,44154.41667,171,26
westus2,44154.41667,203,11
westus2,44154.41667,93,56
westus2,44154.41667,78,47
westus2,44154.375,140,14
westus2,44154.375,125,13
westus2,44154.375,156,12
westus2,44154.375,93,271
westus2,44154.375,78,161
westus2,44154.375,109,328
westus2,44154.375,0,11
westus2,44154.375,171,14
westus2,44154.33333,78,37
westus2,44154.33333,93,46
westus2,44154.33333,156,29
westus2,44154.33333,125,191
westus2,44154.33333,171,21
westus2,44154.33333,140,66
westus2,44154.33333,124,163
westus2,44154.33333,109,249
westus2,44154.29167,140,187
westus2,44154.29167,0,12
westus2,44154.29167,156,50
westus2,44154.29167,78,69
westus2,44154.29167,93,179
westus2,44154.29167,234,11
westus2,44154.29167,109,69
westus2,44154.29167,124,131
westus2,44154.29167,125,135
westus2,44154.25,0,12
westus2,44154.25,93,129
westus2,44154.25,125,135
westus2,44154.25,187,16
westus2,44154.25,124,125
westus2,44154.25,109,387
westus2,44154.25,156,34
westus2,44154.25,171,19
westus2,44154.25,78,20
westus2,44154.25,140,149
westus2,44154.20833,187,18
westus2,44154.20833,109,104
westus2,44154.20833,140,157
westus2,44154.20833,156,38
westus2,44154.20833,124,67
westus2,44154.20833,125,88
westus2,44154.20833,78,95
westus2,44154.20833,0,23
westus2,44154.20833,93,218
westus2,44154.20833,203,19
westus2,44154.16667,218,24
westus2,44154.16667,171,22
westus2,44154.16667,140,264
westus2,44154.16667,156,28
westus2,44154.16667,203,15
westus2,44154.16667,125,283
westus2,44154.16667,109,135
westus2,44154.16667,124,234
westus2,44154.16667,187,15
westus2,44154.125,109,86
westus2,44154.125,156,51
westus2,44154.125,124,106
westus2,44154.125,125,114
westus2,44154.125,140,255
westus2,44154.125,187,14
westus2,44154.125,0,11
westus2,44154.125,171,17
westus2,44154.08333,171,12
westus2,44154.08333,125,218
westus2,44154.08333,156,21
westus2,44154.08333,140,164
westus2,44154.08333,124,202
westus2,44154.08333,109,116
westus2,44154.04167,156,18
westus2,44154.04167,124,169
westus2,44154.04167,140,227
westus2,44154.04167,171,11
westus2,44154.04167,109,108
westus2,44154.04167,125,157
westus2,44154,124,201
westus2,44154,140,228
westus2,44154,109,65
westus2,44154,125,228
westus2,44154,171,15
westus2,44154,156,48
westus2,44153.95833,171,23
westus2,44153.95833,187,17
westus2,44153.95833,124,161
westus2,44153.95833,125,169
westus2,44153.95833,156,74
westus2,44153.95833,140,196
westus2,44153.95833,234,12
westus2,44153.95833,0,13
westus2,44153.95833,93,64
westus2,44153.95833,109,90
westus2,44153.91667,124,116
westus2,44153.91667,109,107
westus2,44153.91667,234,14
westus2,44153.91667,0,14
westus2,44153.91667,156,27
westus2,44153.91667,93,29
westus2,44153.91667,125,110
westus2,44153.91667,140,177
westus2,44153.91667,187,13
westus2,44153.875,109,144
westus2,44153.875,124,139
westus2,44153.875,140,224
westus2,44153.875,156,57
westus2,44153.875,0,52
westus2,44153.875,171,20
westus2,44153.875,234,18
westus2,44153.875,203,15
westus2,44153.875,125,126
westus2,44153.83333,124,191
westus2,44153.83333,156,29
westus2,44153.83333,109,178
westus2,44153.83333,125,237
westus2,44153.83333,140,117
westus2,44153.79167,109,43
westus2,44153.79167,187,12
westus2,44153.79167,125,160
westus2,44153.79167,171,17
westus2,44153.79167,156,56
westus2,44153.79167,203,19
westus2,44153.79167,140,315
westus2,44153.79167,124,170
westus2,44153.79167,0,58
westus2,44153.75,156,29
westus2,44153.75,171,14
westus2,44153.75,109,120
westus2,44153.75,140,175
westus2,44153.75,125,149
westus2,44153.75,124,118
westus2,44153.75,187,11
westus2,44153.75,203,11
westus2,44153.70833,125,154
westus2,44153.70833,109,244
westus2,44153.70833,140,57
westus2,44153.70833,156,23
westus2,44153.70833,171,12
westus2,44153.70833,93,22
westus2,44153.70833,124,131
westus2,44153.66667,140,44
westus2,44153.66667,125,88
westus2,44153.66667,109,375
westus2,44153.66667,124,72
westus2,44153.66667,93,264
westus2,44153.66667,156,14
westus2,44153.66667,78,13
westus2,44153.625,203,21
westus2,44153.625,187,18
westus2,44153.625,109,197
westus2,44153.625,93,13
westus2,44153.625,156,42
westus2,44153.625,171,26
westus2,44153.625,218,19
westus2,44153.625,140,206
westus2,44153.625,125,274
westus2,44153.625,124,263
